gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,at,emp,ni,revt,costat
001602,2015-12-31,2015,INDL,C,D,STD,AMGN,USD,71576.0000,17.9000,6939.0000,21662.0000,A
001602,2016-12-31,2016,INDL,C,D,STD,AMGN,USD,77626.0000,19.2000,7722.0000,22991.0000,A
001602,2017-12-31,2017,INDL,C,D,STD,AMGN,USD,79954.0000,20.8000,1979.0000,22849.0000,A
001602,2018-12-31,2018,INDL,C,D,STD,AMGN,USD,66416.0000,21.5000,8394.0000,23747.0000,A
001602,2019-12-31,2019,INDL,C,D,STD,AMGN,USD,59707.0000,23.4000,7842.0000,23362.0000,A
001632,2009-10-31,2009,INDL,C,D,STD,ADI,USD,3404.2940,8.3000,247.7720,2014.9080,A
001632,2010-10-31,2010,INDL,C,D,STD,ADI,USD,4328.8310,8.5000,712.0840,2761.5030,A
001632,2011-10-31,2011,INDL,C,D,STD,ADI,USD,5277.6350,9.2000,867.3940,2993.3200,A
001632,2012-10-31,2012,INDL,C,D,STD,ADI,USD,5620.3470,9.2000,651.2360,2701.1420,A
001632,2013-10-31,2013,INDL,C,D,STD,ADI,USD,6381.7500,9.1000,673.4870,2633.6890,A
001632,2014-10-31,2014,INDL,C,D,STD,ADI,USD,6859.6900,9.6000,629.3200,2864.7730,A
001632,2015-10-31,2015,INDL,C,D,STD,ADI,USD,7062.1780,9.7000,696.8780,3435.0920,A
001632,2016-10-31,2016,INDL,C,D,STD,ADI,USD,7970.2780,10.0000,861.6640,3421.4090,A
001632,2017-10-31,2017,INDL,C,D,STD,ADI,USD,21141.2940,15.3000,727.2590,5107.5030,A
001632,2018-10-31,2018,INDL,C,D,STD,ADI,USD,20449.7790,15.8000,1495.4320,6200.9420,A
001632,2019-10-31,2019,INDL,C,D,STD,ADI,USD,21392.6410,16.4000,1363.0110,5991.0650,A
001678,2009-12-31,2009,INDL,C,D,STD,APA,USD,28185.7430,3.4520,-284.3980,8573.9270,A
001678,2010-12-31,2010,INDL,C,D,STD,APA,USD,43425.0000,4.4490,3032.0000,12183.0000,A
001678,2011-12-31,2011,INDL,C,D,STD,APA,USD,52051.0000,5.2990,4584.0000,16810.0000,A
001678,2012-12-31,2012,INDL,C,D,STD,APA,USD,60737.0000,5.9760,2001.0000,16947.0000,A
001678,2013-12-31,2013,INDL,C,D,STD,APA,USD,61637.0000,5.3420,2232.0000,16402.0000,A
001678,2014-12-31,2014,INDL,C,D,STD,APA,USD,55952.0000,4.9500,-5403.0000,13749.0000,A
001678,2015-12-31,2015,INDL,C,D,STD,APA,USD,18842.0000,3.8600,-23119.0000,6383.0000,A
001678,2016-12-31,2016,INDL,C,D,STD,APA,USD,22519.0000,3.7270,-1405.0000,5367.0000,A
001678,2017-12-31,2017,INDL,C,D,STD,APA,USD,21922.0000,3.3560,1304.0000,5752.0000,A
001678,2018-12-31,2018,INDL,C,D,STD,APA,USD,21582.0000,3.4200,40.0000,7331.0000,A
001678,2019-12-31,2019,INDL,C,D,STD,APA,USD,18107.0000,3.1630,-3553.0000,6280.0000,A
001690,2009-09-30,2009,INDL,C,D,STD,AAPL,USD,47501.0000,36.8000,8235.0000,42905.0000,A
001690,2010-09-30,2010,INDL,C,D,STD,AAPL,USD,75183.0000,49.4000,14013.0000,65225.0000,A
001690,2011-09-30,2011,INDL,C,D,STD,AAPL,USD,116371.0000,63.3000,25922.0000,108249.0000,A
001690,2012-09-30,2012,INDL,C,D,STD,AAPL,USD,176064.0000,76.1000,41733.0000,156508.0000,A
001690,2013-09-30,2013,INDL,C,D,STD,AAPL,USD,207000.0000,84.4000,37037.0000,170910.0000,A
001690,2014-09-30,2014,INDL,C,D,STD,AAPL,USD,231839.0000,97.0000,39510.0000,182795.0000,A
001690,2015-09-30,2015,INDL,C,D,STD,AAPL,USD,290479.0000,110.0000,53394.0000,233715.0000,A
001690,2016-09-30,2016,INDL,C,D,STD,AAPL,USD,321686.0000,116.0000,45687.0000,215091.0000,A
001690,2017-09-30,2017,INDL,C,D,STD,AAPL,USD,375319.0000,123.0000,48351.0000,229234.0000,A
001690,2018-09-30,2018,INDL,C,D,STD,AAPL,USD,365725.0000,132.0000,59531.0000,265359.0000,A
001690,2019-09-30,2019,INDL,C,D,STD,AAPL,USD,338516.0000,137.0000,55256.0000,260174.0000,A
001704,2009-10-31,2009,INDL,C,D,STD,AMAT,USD,9574.2430,12.6190,-305.3270,5013.6070,A
001704,2010-10-31,2010,INDL,C,D,STD,AMAT,USD,10943.3450,13.0450,937.8660,9548.6670,A
001704,2011-10-31,2011,INDL,C,D,STD,AMAT,USD,13861.0000,12.9730,1926.0000,10517.0000,A
001704,2012-10-31,2012,INDL,C,D,STD,AMAT,USD,12102.0000,14.5260,109.0000,8719.0000,A
001704,2013-10-31,2013,INDL,C,D,STD,AMAT,USD,12043.0000,13.7000,256.0000,7509.0000,A
