PCOMMFEES,PEXECDIRPD,PDIRPENSN,ANNDIRRET,DIRMTGFEE,NUMMTGS,DIRSTK,DIRSTKAD,DIROPT,DIROPTAD,SALES,SALECHG,SALE3LS,SALE5LS,OIBD,OIBDCHG,OIBD3LS,OIBD5LS,PRETAX,NIBEX,NI,NICHG,NI3LS,NI5LS,NIAC,EPSEX,EPSEXCHG,EPSEX3LS,EPSEX5LS,EPSIN,EPSINCHG,COMMEQ,SEQ,ROEPER,ROEAVG,ASSETS,ASSETCHG,ROA,MKTVAL,DIVYIELD,PRCCF,PRCC,SHRSOUT,TRS1YR,TRS3YR,TRS5YR,EMPL,AJEX,BS_VOLATILITY,BS_YIELD,SRCDATE,GVKEY,YEAR,FYR,NAICS,CONAME,CUSIP,TICKER,SIC
0,0,0,50.004,0,8,0.65,0,,0,12477.845,5.002,7.614,8.216,3902.166,9.054,9.781,9.827,3247.599,2333.231,2333.231,11.4,11.379,10.769,2333.231,1.53,12.5,13.013,12.607,1.53,12.5,5713.661,5713.661,40.836,43.562,13216.213,9.577,17.654,74363.429,1.194,49,49,1516.063,51.831,35.403,29.584,56.236,1,0.171,1.802,1999-03-09,001078,1998,12,,ABBOTT LABORATORIES,00282410,ABT,3845
0,0,0,60,0,10,1.267,0,,0,13177.625,5.608,6.162,7.554,4161.581,6.648,7.605,9.408,3404.888,2445.759,2445.759,4.823,9.126,10.028,2445.759,1.59,3.922,9.682,11.203,1.59,3.922,7427.595,7427.595,32.928,37.223,14471.044,9.495,16.901,55823.606,1.818,36.313,36.313,1547.02,-24.781,14.465,19.466,57.1,1,0.196,1.543,2000-03-14,001078,1999,12,,ABBOTT LABORATORIES,00282410,ABT,3845
0,0,0,60,0,6,1.36,0,,0,13745.916,4.313,4.973,6.544,4089.499,-1.732,4.553,6.755,3824.407,2785.977,2785.977,13.911,9.977,10.531,2785.977,1.8,13.208,9.794,11.171,1.8,13.208,8570.906,8570.906,32.505,34.828,15283.254,5.613,18.229,74865.969,1.528,48.438,48.438,1545.934,35.852,15.767,20.464,60.571,1,0.218,1.538,2001-03-13,001078,2000,12,,ABBOTT LABORATORIES,00282410,ABT,3845
0,0,0,80.004,0,6,1.429,0,,0,16285.246,18.473,9.283,8.137,4705.95,15.074,6.442,7.097,1900.148,1550.39,1550.39,-44.35,-12.737,-3.803,1550.39,1,-44.444,-13.217,-3.661,1,-44.444,9059.432,9059.432,17.114,17.588,23296.423,52.431,6.655,86616.322,1.471,55.75,55.75,1554.53,17.025,6.143,18.979,71.426,1,0.229,1.513,2002-03-12,001078,2001,12,,ABBOTT LABORATORIES,00282410,ABT,3845
0,0,0,80.004,0,8,1.206,0,,0,17684.663,8.593,10.303,8.276,5118.186,8.76,7.14,7.421,3691.413,2793.703,2793.703,80.194,4.534,5.931,2793.703,1.79,79,4.028,5.648,1.79,79,10664.553,10664.553,26.196,28.328,24259.102,4.132,11.516,62501.64,2.288,40,40,1563.068,-26.858,5.157,5.838,71.819,1,0.26,1.605,2003-03-11,001078,2002,12,,ABBOTT LABORATORIES,00282410,ABT,3845
0,0,0,80.004,0,11,1.632,0,,0,19680.561,11.286,12.708,9.542,5438.763,6.263,9.971,6.866,3745.417,2753.233,2753.233,-1.449,-0.393,3.366,2753.233,1.76,-1.676,-0.746,2.841,1.76,-1.676,13072.258,13072.258,21.062,23.198,26715.342,10.125,10.306,72852.25,2.082,46.6,46.6,1564.518,19.343,0.712,0.862,72.181,1,0.258,1.762,2004-03-09,001078,2003,12,,ABBOTT LABORATORIES,00282410,ABT,3845
0,0,0,80.004,0,8,1.577,0,,0,19680.016,-0.003,6.515,8.352,5744.026,5.613,6.87,6.658,4136.6,3175.836,3235.851,17.529,27.001,5.363,3235.851,2.03,15.341,26.619,5.007,2.07,17.614,14325.783,14325.783,22.169,23.183,28767.494,7.682,11.04,72652.337,2.197,46.65,46.65,1560.024,9.645,-1.451,8.758,60.6,1,0.249,1.947,2005-03-18,001078,2004,12,,ABBOTT LABORATORIES,00282410,ABT,3845
0,0,0,80.004,0,8,1.889,0,,0,22287.808,13.251,8.017,10.149,6194.338,7.84,6.568,8.659,4628.92,3372.065,3372.065,4.21,6.473,3.892,3372.065,2.17,6.897,6.627,3.81,2.17,4.831,14415.271,14415.271,23.392,23.465,29141.203,1.299,11.571,61164.92,2.752,39.43,39.43,1539.235,-13.46,4.232,-0.622,59.735,1,0.23,2.189,2006-03-24,001078,2005,12,,ABBOTT LABORATORIES,00282410,ABT,3845
1,0,0,20,1,4,0,0,3,9,1514.489,23.466,11.093,8.719,422.258,59.286,34.173,25.354,271.631,245.011,245.011,68.639,74.574,,234.661,2.57,67.974,80.092,,2.57,67.974,1046.705,1046.74,22.419,25.646,1448.095,12.103,16.205,1599.096,0,18.125,18.125,44.113,3.571,32.031,12.914,11.554,2,0.601,0,1993-03-31,001161,1992,12,334413,ADVANCED MICRO DEVICES,00790310,AMD,3674
1,0,0,20,1,4,0,0,3,9,1648.28,8.834,15.881,7.922,480.12,13.703,83.935,21.062,317.752,228.781,228.781,-6.624,,63.946,218.431,2.3,-10.506,,83.682,2.3,-10.506,1352.236,1352.271,16.153,18.211,1929.231,33.225,11.322,1640.881,0,17.75,17.75,46.222,-2.069,53.842,15.528,12.06,2,0.603,0,1994-03-25,001161,1993,12,,ADVANCED MICRO DEVICES,00790310,AMD,3674
