,tic,fyear
788,EFX,2015
789,EFX,2016
790,EFX,2017
791,EFX,2018
792,EFX,2019
793,EFX,2020
794,EQT,2011
795,EQT,2012
796,EQT,2013
797,EQT,2014
798,EQT,2015
799,EQT,2016
800,EQT,2017
801,EQT,2018
802,EQT,2019
803,EQT,2020
804,EXPD,2011
805,EXPD,2012
806,EXPD,2013
807,EXPD,2014
808,EXPD,2015
809,EXPD,2016
810,EXPD,2017
811,EXPD,2018
812,EXPD,2019
813,EXPD,2020
814,XOM,2011
815,XOM,2012
816,XOM,2013
817,XOM,2014
818,XOM,2015
819,XOM,2016
820,XOM,2017
821,XOM,2018
822,XOM,2019
823,XOM,2020
824,FMC,2011
825,FMC,2012
826,FMC,2013
827,FMC,2014
828,FMC,2015
829,FMC,2016
830,FMC,2017
831,FMC,2018
832,FMC,2019
833,FMC,2020
834,NEE,2011
835,NEE,2012
836,NEE,2013
837,NEE,2014
838,NEE,2015
839,NEE,2016
840,NEE,2017
841,NEE,2018
842,NEE,2019
843,NEE,2020
844,FDX,2010
845,FDX,2011
846,FDX,2012
847,FDX,2013
848,FDX,2014
849,FDX,2015
850,FDX,2016
851,FDX,2017
852,FDX,2018
853,FDX,2019
854,FRT,2011
855,FRT,2012
856,FRT,2013
857,FRT,2014
858,FRT,2015
859,FRT,2016
860,FRT,2017
861,FRT,2018
862,FRT,2019
863,FRT,2020
864,FITB,2011
865,FITB,2012
866,FITB,2013
867,FITB,2014
868,FITB,2015
869,FITB,2016
870,FITB,2017
871,FITB,2018
872,FITB,2019
873,FITB,2020
874,RF,2011
875,RF,2012
876,RF,2013
877,RF,2014
878,RF,2015
879,RF,2016
880,RF,2017
881,RF,2018
882,RF,2019
883,RF,2020
884,MTB,2011
885,MTB,2012
886,MTB,2013
887,MTB,2014
888,MTB,2015
889,MTB,2016
890,MTB,2017
891,MTB,2018
892,MTB,2019
893,MTB,2020
894,USB,2011
895,USB,2012
896,USB,2013
897,USB,2014
898,USB,2015
899,USB,2016
900,USB,2017
901,USB,2018
902,USB,2019
903,USB,2020
904,F,2011
905,F,2012
906,F,2013
907,F,2014
908,F,2015
909,F,2016
910,F,2017
911,F,2018
912,F,2019
913,F,2020
914,BEN,2011
915,BEN,2012
916,BEN,2013
917,BEN,2014
918,BEN,2015
919,BEN,2016
920,BEN,2017
921,BEN,2018
922,BEN,2019
923,BEN,2020
924,AJG,2011
925,AJG,2012
926,AJG,2013
927,AJG,2014
928,AJG,2015
929,AJG,2016
930,AJG,2017
931,AJG,2018
932,AJG,2019
933,AJG,2020
934,GD,2011
935,GD,2012
936,GD,2013
937,GD,2014
938,GD,2015
939,GD,2016
940,GD,2017
941,GD,2018
942,GD,2019
943,GD,2020
944,GE,2011
945,GE,2012
946,GE,2013
947,GE,2014
948,GE,2015
949,GE,2016
950,GE,2017
951,GE,2018
952,GE,2019
953,GE,2020
954,GIS,2010
955,GIS,2011
956,GIS,2012
957,GIS,2013
958,GIS,2014
959,GIS,2015
960,GIS,2016
961,GIS,2017
962,GIS,2018
963,GIS,2019
964,GM,2011
965,GM,2012
966,GM,2013
967,GM,2014
968,GM,2015
969,GM,2016
970,GM,2017
971,GM,2018
972,GM,2019
973,GM,2020
974,GPC,2011
975,GPC,2012
976,GPC,2013
977,GPC,2014
978,GPC,2015
979,GPC,2016
980,GPC,2017
981,GPC,2018
982,GPC,2019
983,GPC,2020
984,GWW,2011
985,GWW,2012
986,GWW,2013
987,GWW,2014
988,GWW,2015
989,GWW,2016
990,GWW,2017
991,GWW,2018
992,GWW,2019
993,GWW,2020
994,HAL,2011
995,HAL,2012
996,HAL,2013
997,HAL,2014
998,HAL,2015
999,HAL,2016
1000,HAL,2017
1001,HAL,2018
1002,HAL,2019
1003,HAL,2020
1004,LHX,2011
1005,LHX,2012
1006,LHX,2013
1007,LHX,2014
1008,LHX,2015
1009,LHX,2016
1010,LHX,2017
1011,LHX,2018
1012,LHX,2019
1013,LHX,2020
1014,HAS,2011
1015,HAS,2012
1016,HAS,2013
1017,HAS,2014
1018,HAS,2015
1019,HAS,2016
1020,HAS,2017
1021,HAS,2018
1022,HAS,2019
1023,HAS,2020
1024,WELL,2011
1025,WELL,2012
1026,WELL,2013
1027,WELL,2014
1028,WELL,2015
1029,WELL,2016
1030,WELL,2017
1031,WELL,2018
1032,WELL,2019
1033,WELL,2020
1034,KHC,2010
1035,KHC,2011
1036,KHC,2012
1037,KHC,2013
1038,KHC,2014
1039,KHC,2015
1040,KHC,2016
1041,KHC,2017
1042,KHC,2018
1043,KHC,2019
1044,KHC,2020
1045,HSY,2011
1046,HSY,2012
1047,HSY,2013
1048,HSY,2014
1049,HSY,2015
1050,HSY,2016
1051,HSY,2017
1052,HSY,2018
1053,HSY,2019
1054,HSY,2020
1055,HPQ,2011
1056,HPQ,2012
1057,HPQ,2013
1058,HPQ,2014
1059,HPQ,2015
1060,HPQ,2016
1061,HPQ,2017
1062,HPQ,2018
1063,HPQ,2019
1064,HPQ,2020
1065,HLT,2011
1066,HLT,2012
1067,HLT,2013
1068,HLT,2014
1069,HLT,2015
1070,HLT,2016
1071,HLT,2017
1072,HLT,2018
1073,HLT,2019
1074,HLT,2020
1075,HD,2010
1076,HD,2011
1077,HD,2012
1078,HD,2013
1079,HD,2014
1080,HD,2015
1081,HD,2016
1082,HD,2017
1083,HD,2018
1084,HD,2019
1085,HD,2020
1086,HRL,2011
1087,HRL,2012
1088,HRL,2013
1089,HRL,2014
1090,HRL,2015
1091,HRL,2016
1092,HRL,2017
1093,HRL,2018
1094,HRL,2019
1095,HRL,2020
1096,CNP,2011
1097,CNP,2012
1098,CNP,2013
1099,CNP,2014
1100,CNP,2015
1101,CNP,2016
1102,CNP,2017
1103,CNP,2018
1104,CNP,2019
1105,CNP,2020
1106,JBHT,2011
1107,JBHT,2012
1108,JBHT,2013
1109,JBHT,2014
1110,JBHT,2015
1111,JBHT,2016
1112,JBHT,2017
1113,JBHT,2018
1114,JBHT,2019
1115,JBHT,2020
1116,HBAN,2011
1117,HBAN,2012
1118,HBAN,2013
1119,HBAN,2014
1120,HBAN,2015
1121,HBAN,2016
1122,HBAN,2017
1123,HBAN,2018
1124,HBAN,2019
1125,HBAN,2020
1126,ITW,2011
1127,ITW,2012
1128,ITW,2013
1129,ITW,2014
1130,ITW,2015
1131,ITW,2016
1132,ITW,2017
1133,ITW,2018
1134,ITW,2019
1135,ITW,2020
1136,TT,2011
1137,TT,2012
1138,TT,2013
1139,TT,2014
1140,TT,2015
1141,TT,2016
1142,TT,2017
1143,TT,2018
1144,TT,2019
1145,TT,2020
1146,INTC,2011
1147,INTC,2012
1148,INTC,2013
1149,INTC,2014
1150,INTC,2015
1151,INTC,2016
1152,INTC,2017
1153,INTC,2018
1154,INTC,2019
1155,INTC,2020
1156,IBM,2011
1157,IBM,2012
1158,IBM,2013
1159,IBM,2014
1160,IBM,2015
1161,IBM,2016
1162,IBM,2017
1163,IBM,2018
1164,IBM,2019
1165,IBM,2020
1166,IFF,2011
1167,IFF,2012
1168,IFF,2013
1169,IFF,2014
1170,IFF,2015
1171,IFF,2016
1172,IFF,2017
1173,IFF,2018
1174,IFF,2019
1175,IFF,2020
1176,IP,2011
1177,IP,2012
1178,IP,2013
1179,IP,2014
1180,IP,2015
1181,IP,2016
1182,IP,2017
1183,IP,2018
1184,IP,2019
1185,IP,2020
1186,IPG,2011
1187,IPG,2012
1188,IPG,2013
1189,IPG,2014
1190,IPG,2015
1191,IPG,2016
1192,IPG,2017
1193,IPG,2018
1194,IPG,2019
1195,IPG,2020
1196,J,2011
1197,J,2012
1198,J,2013
1199,J,2014
1200,J,2015
1201,J,2016
1202,J,2017
1203,J,2018
1204,J,2019
1205,J,2020
1206,JNJ,2011
1207,JNJ,2012
1208,JNJ,2013
1209,JNJ,2014
1210,JNJ,2015
1211,JNJ,2016
1212,JNJ,2017
1213,JNJ,2018
1214,JNJ,2019
1215,JNJ,2020
1216,JCI,2011
1217,JCI,2012
1218,JCI,2013
1219,JCI,2014
1220,JCI,2015
1221,JCI,2016
1222,JCI,2017
1223,JCI,2018
1224,JCI,2019
1225,JCI,2020
1226,KLAC,2011
1227,KLAC,2012
1228,KLAC,2013
1229,KLAC,2014
1230,KLAC,2015
1231,KLAC,2016
1232,KLAC,2017
1233,KLAC,2018
1234,KLAC,2019
1235,KLAC,2020
1236,KMI,2011
1237,KMI,2012
1238,KMI,2013
1239,KMI,2014
1240,KMI,2015
1241,KMI,2016
1242,KMI,2017
1243,KMI,2018
1244,KMI,2019
1245,KMI,2020
1246,EVRG,2011
1247,EVRG,2012
1248,EVRG,2013
1249,EVRG,2014
1250,EVRG,2015
1251,EVRG,2016
1252,EVRG,2017
1253,EVRG,2018
1254,EVRG,2019
1255,EVRG,2020
1256,K,2011
1257,K,2012
1258,K,2013
1259,K,2014
1260,K,2015
1261,K,2016
1262,K,2017
1263,K,2018
1264,K,2019
1265,K,2020
1266,KMB,2011
1267,KMB,2012
1268,KMB,2013
1269,KMB,2014
1270,KMB,2015
1271,KMB,2016
