,GVKEY,TICKER,TOTAL_SEC,OTHCOMP,NONEQ_INCENT,CASH_FEES,STOCK_AWARDS,OPTION_AWARDS,SPCODE,CUSIP,CONAME,YEAR,YEAR_y,total_director_comp,total_OTHCOMP,total_NONEQ_INCENT,total_CASH_FEES,total_STOCK_AWARDS,total_OPTION_AWARDS,MKVALT,SIZE_CATEGORY,signature_index
61,1300,HON,280.401,26.301,0.0,186.0,0.0,68.1,SP,43851610,HONEYWELL INTERNATIONAL INC,2011,2010,2605.182,172.921,0.0,1837.667,0.0,492.3,42104.945,Big,734cfb744faa2000d9cd0961df078baf
62,1300,HON,287.445,26.415,0.0,186.0,37.519,37.511,SP,43851610,HONEYWELL INTERNATIONAL INC,2012,2010,2605.182,172.921,0.0,1837.667,0.0,492.3,49684.316,Big,805fbdac9aa58a381f8ca7180ddc3f07
63,1300,HON,286.558,26.535,0.0,185.0,37.528,37.495,SP,43851610,HONEYWELL INTERNATIONAL INC,2013,2010,2605.182,172.921,0.0,1837.667,0.0,492.3,71615.806,Big,402522e677540d1af0d458e6a675a5ca
64,1300,HON,286.666,26.663,0.0,185.0,37.506,37.497,SP,43851610,HONEYWELL INTERNATIONAL INC,2014,2010,2605.182,172.921,0.0,1837.667,0.0,492.3,78157.424,Big,ce6168020a4bdd9aeea8f00b7125d1be
65,1300,HON,326.905,26.806,0.0,200.0,50.083,50.016,SP,43851610,HONEYWELL INTERNATIONAL INC,2015,2010,2605.182,172.921,0.0,1837.667,0.0,492.3,79790.328,Big,7f5b6c81b7fe8ebbe66e225219137ae8
66,1300,HON,352.037,26.963,0.0,225.0,50.076,49.998,SP,43851610,HONEYWELL INTERNATIONAL INC,2016,2010,2605.182,172.921,0.0,1837.667,0.0,492.3,88138.68,Big,3a0f17462c6eef2e003f66000bbecd87
67,1300,HON,342.153,27.139,0.0,215.0,50.006,50.008,SP,43851610,HONEYWELL INTERNATIONAL INC,2017,2010,2605.182,172.921,0.0,1837.667,0.0,492.3,115158.024,Huge,97b642b52ba42a744b57b0b524365cca
68,1300,HON,342.765,27.335,0.0,215.0,50.116,50.314,SP,43851610,HONEYWELL INTERNATIONAL INC,2018,2010,2605.182,172.921,0.0,1837.667,0.0,492.3,96394.752,Big,1733265e8b87aadac84ea22f06f7a2c0
69,1300,HON,299.751,25.52,0.0,114.167,110.011,50.053,SP,43851610,HONEYWELL INTERNATIONAL INC,2019,2010,2605.182,172.921,0.0,1837.667,0.0,492.3,125864.7,Huge,355c536b47da9efaf006981c8b6d8a2f
70,1327,SWKS,241.475,0.0,0.0,57.0,184.475,0.0,SP,83088M10,SKYWORKS SOLUTIONS INC,2010,2010,1960.3,0.0,0.0,484.5,1475.8,0.0,3726.0362,Medium,63957ec6467846ac2b633294767e8ab3
71,1327,SWKS,225.474,0.0,0.0,63.0,162.474,0.0,SP,83088M10,SKYWORKS SOLUTIONS INC,2011,2010,1960.3,0.0,0.0,484.5,1475.8,0.0,3347.4926,Medium,5c67bdbc6d9d2a6277c3deb1f9ae7fd0
