,GVKEY,TICKER,CEOANN,SALARY,BONUS,STOCK_AWARDS,OPTION_AWARDS,OTHCOMP,TOTAL_CURR,AGE,TDC1,YEAR,BECAMECEO,JOINED_CO,LEFTOFC,GENDER,CUSIP,NAICSDESC,SIC,MKVALT,SIZE_CATEGORY,signature_index
53,1230,ALK,CEO,425.0,0.0,1062.879,556.715,62.038,425.0,52.0,2753.597,2013,2012-05-15,,2021-03-31,MALE,01165910,Scheduled Passenger Air Transportation,4512,5043.894,Tiny,697e3cc388bf73a1bf3051b797498b40
54,1230,ALK,CEO,436.769,0.0,975.541,460.48,199.954,436.769,53.0,2947.282,2014,2012-05-15,,2021-03-31,MALE,01165910,Scheduled Passenger Air Transportation,4512,7857.3046,Tiny,01b1a12f6fc6e2aa718a45936194f4e3
55,1230,ALK,CEO,454.254,0.0,1621.307,391.295,202.895,454.254,54.0,3601.753,2015,2012-05-15,,2021-03-31,MALE,01165910,Scheduled Passenger Air Transportation,4512,10077.8393,Tiny,a882fdee9ba5021f9e1f33c9d5295be4
56,1230,ALK,CEO,487.6,0.0,1817.951,412.499,206.027,487.6,55.0,3886.411,2016,2012-05-15,,2021-03-31,MALE,01165910,Scheduled Passenger Air Transportation,4512,10942.8934,Tiny,ce745b98f91e6de113555b836c462540
57,1230,ALK,CEO,534.616,0.0,2762.366,673.44,268.898,534.616,56.0,5238.064,2017,2012-05-15,,2021-03-31,MALE,01165910,Scheduled Passenger Air Transportation,4512,9046.2141,Tiny,35cd14980ff9c8fc539b2d8e16c33506
58,1230,ALK,CEO,563.846,0.0,1961.616,640.666,227.213,563.846,57.0,4374.845,2018,2012-05-15,,2021-03-31,MALE,01165910,Scheduled Passenger Air Transportation,4512,7496.3549,Tiny,0f6f0251af5d263857bf1148ae4850f2
59,1230,ALK,CEO,583.846,0.0,2212.188,712.749,215.23,583.846,58.0,4718.444,2019,2012-05-15,,2021-03-31,MALE,01165910,Scheduled Passenger Air Transportation,4512,8333.25,Tiny,a025550f22103672de009406b8b37ced
60,1300,HON,CEO,1800.0,4300.0,0.0,8483.5,228.929,6100.0,57.0,15216.953,2010,2002-06-01,2002-02-18,2017-03-31,MALE,43851610,Other Aircraft Parts and Auxiliary Equipment Manuf,9997,41624.28,Tiny,42f6fe33fa9fe8c209545dbb565aae51
61,1300,HON,CEO,1800.0,4300.0,0.0,9849.75,428.499,6100.0,58.0,35813.31,2011,2002-06-01,2002-02-18,2017-03-31,MALE,43851610,Other Aircraft Parts and Auxiliary Equipment Manuf,9997,42104.945,Tiny,8f74619cef7298296b0c9b0db7477d0e
62,1300,HON,CEO,1800.0,4800.0,0.0,9289.0,389.972,6600.0,59.0,16765.328,2012,2002-06-01,2002-02-18,2017-03-31,MALE,43851610,Other Aircraft Parts and Auxiliary Equipment Manuf,9997,49684.316,Tiny,6f09ced36f2a89261a02270afeb3584a
63,1300,HON,CEO,1800.0,5200.0,0.0,8880.0,535.958,7000.0,60.0,25973.246,2013,2002-06-01,2002-02-18,2017-03-31,MALE,43851610,Other Aircraft Parts and Auxiliary Equipment Manuf,9997,71615.806,Tiny,f2a1d626e0f095f11c0e7d022aec47e7
64,1300,HON,CEO,1865.769,5500.0,0.0,14816.0,776.821,7365.769,61.0,23567.832,2014,2002-06-01,2002-02-18,2017-03-31,MALE,43851610,Other Aircraft Parts and Auxiliary Equipment Manuf,9997,78157.424,Tiny,55969dd714ba2e8cd8f42e747879e734
65,1300,HON,CEO,1890.0,5700.0,0.0,10338.0,927.851,7590.0,62.0,33760.446,2015,2002-06-01,2002-02-18,2017-03-31,MALE,43851610,Other Aircraft Parts and Auxiliary Equipment Manuf,9997,79790.328,Tiny,c88ade5e403447660c83ea78dabed046
66,1300,HON,CEO,1890.0,5700.0,0.0,9348.0,690.542,7590.0,63.0,17628.542,2016,2002-06-01,2002-02-18,2017-03-31,MALE,43851610,Other Aircraft Parts and Auxiliary Equipment Manuf,9997,88138.68,Tiny,72e4c225676a6874ff7a48b61320e1e4
67,1300,HON,CEO,1414.615,0.0,5254.0,3596.4,204.737,1414.615,51.0,19789.152,2017,2017-03-31,,,MALE,43851610,Other Aircraft Parts and Auxiliary Equipment Manuf,9997,115158.024,Tiny,a4e51982931e58b569994db4a8d88f57
68,1300,HON,CEO,1571.154,0.0,9561.215,3185.655,233.498,1571.154,52.0,18651.522,2018,2017-03-31,,,MALE,43851610,Other Aircraft Parts and Auxiliary Equipment Manuf,9997,96394.752,Tiny,21b6cd184276ccc124aa7b0f300e93f2
69,1300,HON,CEO,1600.0,0.0,8612.506,4635.409,864.082,1600.0,53.0,19776.997,2019,2017-03-31,,,MALE,43851610,Other Aircraft Parts and Auxiliary Equipment Manuf,9997,125864.7,Tiny,53cc455fbed66055e5b28e69d1b2a77d
70,1327,SWKS,CEO,609.0,0.0,1508.75,1109.614,12.879,609.0,53.0,4346.753,2010,2000-04-01,1995-01-01,2016-05-11,MALE,83088M10,Semiconductor and Related Device Manufacturing,3674,3726.0362,Tiny,e6e24df534bb17300c6f91ec84de7508
71,1327,SWKS,CEO,635.1,0.0,2856.0,1549.862,12.88,635.1,54.0,5935.947,2011,2000-04-01,1995-01-01,2016-05-11,MALE,83088M10,Semiconductor and Related Device Manufacturing,3674,3347.4926,Tiny,21fd36901cbbf7bb2fe6f1bd204b0548
72,1327,SWKS,CEO,657.523,0.0,1717.2,1310.91,13.948,657.523,55.0,3943.853,2012,2000-04-01,1995-01-01,2016-05-11,MALE,83088M10,Semiconductor and Related Device Manufacturing,3674,4530.4938,Tiny,175af2ae8521f5e4170b4daefd3f126b
73,1327,SWKS,CEO,677.846,0.0,2482.48,1634.185,14.435,677.846,56.0,5800.648,2013,2000-04-01,1995-01-01,2016-05-11,MALE,83088M10,Semiconductor and Related Device Manufacturing,3674,4667.436,Tiny,70bb3a7d261710d539bb8f075885c468
74,1327,SWKS,CEO,747.769,0.0,2474.753,1455.384,14.717,747.769,57.0,6912.623,2014,2000-04-01,1995-01-01,2016-05-11,MALE,83088M10,Semiconductor and Related Device Manufacturing,3674,10983.06,Tiny,0adedc66243ea74357fd3bf9d322ac7e
75,1327,SWKS,CEO,771.635,0.0,4603.19,2443.32,14.91,771.635,58.0,10158.055,2015,2000-04-01,1995-01-01,2016-05-11,MALE,83088M10,Semiconductor and Related Device Manufacturing,3674,16025.163,Tiny,f140c4d0febb7fd4fe0955b1611f6f60
76,1327,SWKS,CEO,822.981,0.0,3720.25,2457.108,15.043,822.981,59.0,7015.382,2016,2000-04-01,1995-01-01,2016-05-11,MALE,83088M10,Semiconductor and Related Device Manufacturing,3674,14078.286,Tiny,7c2a5acb7eef2a561f98f040c98517fa
77,1327,SWKS,CEO,850.0,0.0,5336.603,1230.158,12.042,850.0,50.0,8701.859,2017,2016-05-11,2001-08-01,,MALE,83088M10,Semiconductor and Related Device Manufacturing,3674,18657.89,Tiny,d32d641c7f5eb1891dcf8e3fc6c8f0c7
78,1327,SWKS,CEO,894.808,0.0,7150.399,0.0,12.242,894.808,51.0,9342.113,2018,2016-05-11,2001-08-01,,MALE,83088M10,Semiconductor and Related Device Manufacturing,3674,16091.954,Tiny,69d42d5067a56565e5765caf78f56bf6
79,1327,SWKS,CEO,972.0,0.0,11658.937,0.0,18.399,972.0,52.0,13660.593,2019,2016-05-11,2001-08-01,,MALE,83088M10,Semiconductor and Related Device Manufacturing,3674,13480.425,Tiny,3645f6d69d334a8b2d33d38af8045111
80,1380,HES,CEO,1500.0,1140.327,4216.097,4217.489,14.7,2640.327,56.0,13698.286,2010,1995-05-03,,,MALE,42809H10,Oil and Gas Extraction,1311,25846.1037,Tiny,ce87c07a8edc7ba98c0a5ed9294e780b
81,1380,HES,CEO,1500.0,1307.583,4219.584,4280.375,14.7,2807.583,57.0,13264.659,2011,1995-05-03,,,MALE,42809H10,Oil and Gas Extraction,1311,19310.6368,Tiny,aa1d7e18d0794bb1c247e678cdf523e1
