signature_index,total_director_comp
c0143ccf623c558495c6d43044edea09,3693.762
c0143ccf623c558495c6d43044edea09,3693.762
b6b2e37e72da6f78ea66d5bc8cef6eeb,3693.762
b6b2e37e72da6f78ea66d5bc8cef6eeb,3693.762
b6b2e37e72da6f78ea66d5bc8cef6eeb,3693.762
b6b2e37e72da6f78ea66d5bc8cef6eeb,3693.762
933ccb7a0050eff5a164719ed84719bf,3693.762
933ccb7a0050eff5a164719ed84719bf,3693.762
933ccb7a0050eff5a164719ed84719bf,3693.762
933ccb7a0050eff5a164719ed84719bf,3693.762
5d440a3260d0d50fe5505504e9cdcaa5,3693.762
5d440a3260d0d50fe5505504e9cdcaa5,3693.762
5d440a3260d0d50fe5505504e9cdcaa5,3693.762
5d440a3260d0d50fe5505504e9cdcaa5,3693.762
1e1e74636e0c56c03cc1ea3740b52f55,3693.762
1e1e74636e0c56c03cc1ea3740b52f55,3693.762
1e1e74636e0c56c03cc1ea3740b52f55,3693.762
1e1e74636e0c56c03cc1ea3740b52f55,3693.762
3e86c2cc1c7c1448dd2f2016f7ce065c,2310.609
a7f01536f7afdf287c9d1cd1189ff250,2310.609
4b7fd3f2d03925f38719097cb6168a1a,4580.163
4b7fd3f2d03925f38719097cb6168a1a,4580.163
4b7fd3f2d03925f38719097cb6168a1a,4580.163
4b7fd3f2d03925f38719097cb6168a1a,4580.163
d2cff87323bf8b4240316f4912e17dda,4580.163
d2cff87323bf8b4240316f4912e17dda,4580.163
d2cff87323bf8b4240316f4912e17dda,4580.163
d2cff87323bf8b4240316f4912e17dda,4580.163
bbc7385e62df0d2df708792dbfb7dc9d,4580.163
bbc7385e62df0d2df708792dbfb7dc9d,4580.163
bbc7385e62df0d2df708792dbfb7dc9d,4580.163
bbc7385e62df0d2df708792dbfb7dc9d,4580.163
dbd3541dff89c7206c6e08e9e69e3b30,4580.163
dbd3541dff89c7206c6e08e9e69e3b30,4580.163
dbd3541dff89c7206c6e08e9e69e3b30,4580.163
dbd3541dff89c7206c6e08e9e69e3b30,4580.163
be363d8126866a0e10b6263acda05d05,4580.163
be363d8126866a0e10b6263acda05d05,4580.163
be363d8126866a0e10b6263acda05d05,4580.163
be363d8126866a0e10b6263acda05d05,4580.163
f09b6fc26ea7e088993745f990926858,4580.163
f09b6fc26ea7e088993745f990926858,4580.163
f09b6fc26ea7e088993745f990926858,4580.163
f09b6fc26ea7e088993745f990926858,4580.163
8b92d8f03c8a8eca832aea0188a5a703,2970.0
4cecaa4462cbc83f6675f70e49e11541,2970.0
3234604dcd7ba9b2b2cff7f496ad3e2d,2970.0
1853cf027b7777a1c4e303bbea19b585,3128.583
ed8194b0cfd2b6f0d905055f6a7f5fd8,3128.583
