Unnamed: 0,GVKEY,TICKER,CEOANN,SALARY,BONUS,STOCK_AWARDS,OPTION_AWARDS,OTHCOMP,TOTAL_CURR,AGE,TDC1,YEAR,BECAMECEO,JOINED_CO,LEFTOFC,GENDER,CUSIP,NAICSDESC,SIC,MKVALT,size_category,signature_index
1516,7647,BAC,CEO,1500.0,0.0,23575.105,0.0,331.858,1500.0,60.0,25495.382,2019,2010-01-01,2004-04-01,,MALE,06050510,Commercial Banking,6020,311209.1678,Large,56dca8c936221a988c4dff09d7d330db
1619,8007,WFC,CEO,2800.0,0.0,12500.009,0.0,20.4,2800.0,59.0,19320.409,2013,2007-06-26,,2016-10-12,MALE,94974610,Commercial Banking,6020,238675.2002,Large,27bb03e63cd27cc2633b70c2a5cd6ea6
1620,8007,WFC,CEO,2800.0,0.0,12500.029,0.0,18.2,2800.0,60.0,19318.229,2014,2007-06-26,,2016-10-12,MALE,94974610,Commercial Banking,6020,283438.5322,Large,ac5e5b329f01ae05d51896697ebb7a0d
1621,8007,WFC,CEO,2800.0,0.0,12500.054,0.0,18.55,2800.0,61.0,19318.604,2015,2007-06-26,,2016-10-12,MALE,94974610,Commercial Banking,6020,276808.1324,Large,1c1d9675b339cd3df3aa059720db7214
1622,8007,WFC,CEO,2070.498,0.0,16500.032,0.0,83.646,2070.498,62.0,18654.176,2016,2007-06-26,,2016-10-12,MALE,94974610,Commercial Banking,6020,276437.767,Large,1bb3be88be943615ff33b11c295afad3
1623,8007,WFC,CEO,2400.0,0.0,15000.007,0.0,107.258,2400.0,56.0,17507.265,2017,2016-10-12,,2019-03-28,MALE,94974610,Commercial Banking,6020,296774.4034,Large,031acf857dd97683f6df754c8ac33bbe
1624,8007,WFC,CEO,2400.0,0.0,14000.056,0.0,19.25,2400.0,57.0,18419.306,2018,2016-10-12,,2019-03-28,MALE,94974610,Commercial Banking,6020,211104.1843,Large,dbe3c31b07b1f7609952b33e4833b87d
1625,8007,WFC,CEO,1781.609,1500.0,5004.996,0.0,26.05,3281.609,64.0,9600.292,2019,2019-03-28,,2019-10-21,MALE,94974610,Commercial Banking,6020,222432.1188,Large,55a3579af8832ac49396d86ae54eecba
1772,8530,PFE,CEO,1956.75,0.0,6631.652,14504.377,472.359,1956.75,63.0,26165.138,2017,2010-12-05,1978-01-01,2019-01-01,MALE,71708110,Pharmaceutical Preparation Manufacturing,2834,216559.38,Large,470a941194ce9ea117a40e485b01f562
1773,8530,PFE,CEO,1992.5,0.0,7030.63,6854.237,671.846,1992.5,64.0,19549.213,2018,2010-12-05,1978-01-01,2019-01-01,MALE,71708110,Pharmaceutical Preparation Manufacturing,2834,249547.05,Large,b1970e411954dcb6deb09a668f5b10a6
